source,target,relationship_type,method,confidence,evidence
38128,25692,THAM_CHIEU,rule,0.95,"HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 37/2014/TT-NHNN Hà Nội, Ngày 26 tháng 11 năm 2014 THÔNG TƯ Q uy định việc thiết kế mẫu tiền, chế bản và quản lý in, đúc tiền Việt Nam ____________________ Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ;"
38128,ent_0182773d036251b0,KY_BOI,metadata,0.99,Đào Minh Tú
38128,ent_120a7b68d74b2952,AP_DUNG_CHO,gemini,1.0,Điều 2. Đối tượng áp dụng 1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
38128,ent_855faa01926b9bcd,AP_DUNG_CHO,gemini,1.0,"3. Tổ chức, cá nhân khác có liên quan đến công việc thiết kế mẫu tiền, chế tạo bản in, khuôn đúc và in, đúc tiền."
38128,ent_97c9991b830b89c2,THUOC_LINH_VUC,metadata,0.99,Phát hành và kho quỹ
38128,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
38128,ent_e84455545ea106c2,AP_DUNG_CHO,gemini,1.0,2. Nhà máy in tiền Quốc gia.
44209,25692,THAM_CHIEU,rule,0.95,"A XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc --------------- Số: 01/2014/TT-NHNN Hà Nội, ngày 06 tháng 01 năm 2014 THÔNG TƯ Quy định về giao nhận, bảo quản, vận chuyển tiền mặt, tài sản quý, giấy tờ có giá Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;"
44209,ent_0182773d036251b0,KY_BOI,metadata,0.99,Đào Minh Tú
44209,ent_1d7e563dc0d0a3e9,AP_DUNG_CHO,gemini,0.95,"Điều 2. Đối tượng áp dụng 1. Ngân hàng Nhà nước Việt Nam (sau đây gọi tắt là Ngân hàng Nhà nước). 2. Tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
44209,ent_5a17d2b80fa01295,AP_DUNG_CHO,gemini,0.95,"3. Khách hàng trong quan hệ giao dịch tiền mặt, tài sản quý, giấy tờ có giá với Ngân hàng Nhà nước, tổ chức tín dụng, chi nhánh ngân hàng nước ngoài."
44209,ent_97c9991b830b89c2,THUOC_LINH_VUC,metadata,0.99,Phát hành và kho quỹ
44209,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
44209,ent_f3dacdd0e784d408,AP_DUNG_CHO,gemini,0.95,Điều 2. Đối tượng áp dụng 1. Ngân hàng Nhà nước Việt Nam (sau đây gọi tắt là Ngân hàng Nhà nước).
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,173695,THAM_CHIEU,rule,0.78,"GHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập - Tự do - Hạnh phúc THÔNG TƯ Quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài Thông tư số 56/2024/TT-NHNN ngày 24 tháng 12 năm 2024 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài, văn phòng đại diện nước ngoài, có hiệu lực kể từ ngày 24 tháng 12 năm 2024 được sửa đổi"
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,ent_0db1fd25d8655c63,KY_BOI,metadata,0.99,Đoàn Thái Sơn
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,ent_2693e98696734277,AP_DUNG_CHO,gemini,0.95,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,ent_a0f80c00e2d551f4,AP_DUNG_CHO,gemini,0.95,2. Chi nhánh ngân hàng nước ngoài.
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,ent_a83e76d0d0f195cf,AP_DUNG_CHO,gemini,0.9,"4. Các tổ chức, cá nhân có liên quan đến hồ sơ, thủ tục cấp Giấy phép lần đầu của ngân hàng thương mại, chi nhánh ngân hàng nước ngoài và văn phòng đại diện nước ngoài."
6e689cd0-6f81-11f1-94d6-fd5d6d5ff793,ent_c152cb9d99efaba7,AP_DUNG_CHO,gemini,0.95,Điều 2. Đối tượng áp dụng Thông tư này áp dụng đối với: 1. Ngân hàng thương mại.
95652,ent_015434e5efab2d77,BAN_HANH_BOI,metadata,0.99,Chính phủ
95652,ent_0bccde94640edc6d,AP_DUNG_CHO,gemini,0.95,"3. Các tổ chức, cá nhân khác có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
95652,ent_3ce2ac8e65738e6a,AP_DUNG_CHO,gemini,0.95,2. Các cơ quan quản lý nhà nước tham gia quản lý hoạt động đầu tư gián tiếp ra nước ngoài theo quy định tại Nghị định này.
95652,ent_5e3f5c45fbc6052b,AP_DUNG_CHO,gemini,0.95,1. Nhà đầu tư gồm các đối tượng sau: a) Tổ chức kinh tế theo quy định tại Khoản 16 Điều 3 Luật Đầu tư; b) Cá nhân có quốc tịch Việt Nam thuộc đối tượng được tham gia chương trình thưởng cổ phiếu phát hành ở nước ngoài.
95652,ent_62df3c48cfcb3e2f,KY_BOI,metadata,0.99,Nguyễn Tấn Dũng
f69936f0-6937-11f1-a48d-29bc6b0fd706,ent_015434e5efab2d77,BAN_HANH_BOI,gemini,0.95,Chính phủ ban hành Nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
f69936f0-6937-11f1-a48d-29bc6b0fd706,ent_2e87ad75c32066d5,THUOC_LINH_VUC,gemini,0.9,Quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
f69936f0-6937-11f1-a48d-29bc6b0fd706,ent_8a6d9d75835cdd38,KY_BOI,metadata,0.99,Nguyễn Đức Chi
f69936f0-6937-11f1-a48d-29bc6b0fd706,ent_f0c9b831b72a0444,AP_DUNG_CHO,gemini,0.9,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là Tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
f69936f0-6937-11f1-a48d-29bc6b0fd706,ent_f738d9f6982c7b6f,BAN_HANH_BOI,metadata,0.99,Bộ Tài chính
